#simple_id	insdc_accession
1	OY720056.1
2	OY720057.1
3	OY720058.1
4	OY720059.1
Z	OY720060.1
5	OY720061.1
6	OY720062.1
7	OY720063.1
8	OY720064.1
9	OY720065.1
10	OY720066.1
11	OY720067.1
12	OY720068.1
13	OY720069.1
W	OY720070.1
14	OY720071.1
15	OY720072.1
16	OY720073.1
17	OY720074.1
18	OY720075.1
19	OY720076.1
20	OY720077.1
21	OY720078.1
22	OY720079.1
23	OY720080.1
24	OY720081.1
25	OY720082.1
26	OY720083.1
27	OY720084.1
28	OY720085.1
29	OY720086.1
30	OY720087.1
31	OY720088.1
32	OY720089.1
33	OY720090.1
34	OY720091.1
35	OY720092.1
36	OY720093.1
37	OY720094.1
38	OY720095.1
